FID,Observed,Cond,LocalR2,Predicted,Intercept,C1_PublicS,C2_Domesti,C3_Irrigat,C4_Aquacul,C5_Mining_,C6_Thermoe,Residual,StdError,StdErr_Int,StdErrC1_P,StdErrC2_D,StdErrC3_I,StdErrC4_A,StdErrC5_M,StdErrC6_T,StdResid,Source_ID
0,504.350000000000020,3.579565456020000,0.743678965284000,510.853271587999980,6.774001810480000,0.000231492060768,0.000186258103547,0.003634160453880,5.851588045100000,22.224723682000000,4.251992243790000,-6.503271588060000,29.410847299800000,30.926090437799999,0.000113532403222,0.001314273892600,0.000497792505478,4.216613103390000,12.823336362899999,4.887572005580000,-0.221118131068000,0
1,67.670000000000002,3.680350923850000,0.718958164178000,43.822204863099998,7.707612245380000,0.000195990245773,-0.000431929792014,0.003222348197020,2.114174602320000,-28.866678941600000,7.695027931670000,23.847795136900000,15.310819185700000,34.084601358599997,0.000125930613260,0.001414053949790,0.000400347267928,5.271085851270000,66.488785905499995,4.313367744130000,1.557578000740000,1
2,150.849999999999990,3.318687548750000,0.771277107757000,161.684983600000010,-2.983391482360000,0.000245031251750,-0.001023441014680,0.004066286912030,2.619745414210000,47.945339887300001,5.739174763550000,-10.834983599699999,63.814350475600001,29.760084410099999,0.000118094713810,0.001370726242980,0.000511280202717,4.871125194980000,65.826414270200004,4.241634256800000,-0.169789138633000,2
3,559.740000000000010,4.179140816160000,0.794971330707000,274.879985569999970,28.451702400500000,0.000764944189390,-0.004353622653360,0.004667422489910,8.310489564559999,5.257535102340000,8.587360025790000,284.860014429999980,91.718620122299996,27.866592919500000,0.000357512298322,0.002511916547530,0.000494132899235,4.550017346600000,10.298562405000000,2.435547899450000,3.105803533140000,3
4,359.250000000000000,3.396045120890000,0.767782494824000,446.421332457999990,3.171728597870000,0.000353313500675,-0.002695464491380,0.004205146434620,2.505452406290000,121.066833726000000,5.381168773230000,-87.171332458300000,66.278450603500005,31.191152979500000,0.000205019236550,0.001994266469430,0.000520491564748,4.854750067120000,63.039203404299997,4.212897701730000,-1.315228881550000,4
5,156.830000000000010,3.113548024650000,0.753044486346000,132.383026792000010,31.106977491399999,0.000175645429036,-0.001026808649670,0.004399888205920,6.480019847000000,1.114024027730000,8.918156848670000,24.446973207999999,91.776022716900002,30.221387124400000,0.000143365514939,0.001444150580290,0.000553502388831,4.016327257470000,10.333053799000000,2.287422571500000,0.266376472681000,5
6,393.470000000000030,3.469922317740000,0.647033914946000,193.895626969000010,24.482331588600001,0.000172697411808,-0.000129007636862,0.002507179654180,4.545295831670000,-23.560711272700001,8.039721353219999,199.574373030999990,91.550454491599993,33.018945122399998,0.000120869490283,0.001380761756700,0.000339837638453,5.088639633320000,64.540589258599994,4.278120660870000,2.179938637550000,6
7,383.490000000000010,4.658874095860000,0.829240933595000,389.965114632999980,19.249977469099999,0.001092463460290,-0.004974419417040,0.004431464387460,8.833976845690000,8.107913857840000,8.716898289050000,-6.475114632630000,85.455332092899994,30.587179305100001,0.000594709516328,0.004110464907210,0.000514384893567,4.534989982700000,10.342154809600000,2.749017864930000,-0.075771920534900,7
8,66.000000000000000,3.036282727210000,0.750480847003000,53.071148218899999,23.010111836600000,0.000227181390562,-0.001028404494630,0.004225846731440,4.220996619730000,8.669390200270000,2.228918885690000,12.928851781100001,91.760045407600003,31.697456801800001,0.000120296888137,0.001363037541920,0.000558340370160,3.998634668700000,11.214117419400001,5.155383241870000,0.140898489355000,8
9,45.320000000000000,3.384788462050000,0.778342913222000,96.762669211399995,-2.747491967620000,0.000242452528405,-0.001058833240140,0.004095604633920,1.725652174710000,13.566156754500000,6.180351397120000,-51.442669211400002,91.089846083400005,30.008660635199998,0.000122951275041,0.001382423359060,0.000510337544780,4.974529962990000,66.073438285999998,4.232869088290000,-0.564746472008000,9
10,130.889999999999990,3.164617445230000,0.780579908562000,95.326395104200003,29.510285749499999,0.000236504521681,-0.001467921569510,0.004625103435030,7.970903470900000,1.337792025430000,9.463333520240001,35.563604895799998,91.301290180400002,27.779774427300001,0.000165674550170,0.001560326600700,0.000482502036724,4.264866356550000,10.250672355200001,2.253338850160000,0.389519193272000,10
11,34.259999999999998,3.392415660730000,0.639305506770000,61.720111393700002,22.335766016899999,0.000175704412388,0.000015507035466,0.002359654573210,5.571768788490000,-10.658884944200000,8.361267344770001,-27.460111393700000,89.668763083599998,32.717533921499999,0.000119711969892,0.001367807209490,0.000334829406451,5.309921277410000,63.333737142799997,4.259439086450000,-0.306239435555000,11
12,39.250000000000000,3.556611732200000,0.615324517838000,81.662718122300006,19.608706373699999,0.000162263258284,0.001400536730110,0.001916603206160,13.704131103600000,33.814600982700000,9.979728148810001,-42.412718122299999,91.106742027899998,32.195200851899997,0.000117955201628,0.001369252649350,0.000318040577917,4.175184083740000,60.737683723700002,4.277648750800000,-0.465527766422000,12
13,211.340000000000000,3.468724422590000,0.612667538850000,157.882056834999990,31.835510045600000,0.000155365962534,0.000424311680274,0.002126353461170,7.431784362700000,-15.678047295000001,8.592494235280000,53.457943165099998,92.641292023700004,33.387438602099998,0.000120314580037,0.001393336344140,0.000324564211348,4.910606277770000,62.982404789999997,4.301293398730000,0.577042288567000,13
14,185.270000000000010,3.740208012400000,0.760497022601000,271.793788195999980,-25.862696307400000,0.000254664257663,0.000575487432893,0.001697314736460,6.546307446750000,380.374710644000000,8.704226055730000,-86.523788195999998,77.489371285399997,30.249339893500000,0.000113814797137,0.001325374180540,0.000370449996201,4.579981089340000,111.150544303000000,4.413430051200000,-1.116589111010000,14
15,36.630000000000003,3.484644006400000,0.680303535511000,28.124689982600000,-10.817725490100001,0.000226514182736,0.000620042492511,0.002109749852430,9.766242945629999,151.031037486999990,9.334240037550000,8.505310017430000,87.779768766999993,30.082142142599999,0.000113987049258,0.001323311152490,0.000334455463134,4.070859635200000,67.548897533399995,4.163247531900000,0.096893739148600,15
16,397.339999999999970,3.773843766660000,0.654367307124000,514.052945540999990,-0.280789183836000,0.000183564841346,0.001975552863450,0.001797645683340,12.617373911100000,127.466215152999990,11.488407190200000,-116.712945541000000,59.688822925300002,32.003680085799999,0.000118195501143,0.001366847637020,0.000323056651252,4.824429679870000,71.690103892899998,4.500507979330000,-1.955356795820000,16
17,14.670000000000000,2.902666348050000,0.714025145458000,36.330310589500002,27.440054317200001,0.000236431499629,-0.001419399322740,0.004306448142880,5.074097224210000,10.903728109199999,4.787969817620000,-21.660310589500000,89.777803776499994,29.871730357600001,0.000130355373150,0.001419761667540,0.000500703346800,4.383897842400000,10.983566877499999,4.021398678120000,-0.241265765907000,17
18,466.040000000000020,3.836384051350000,0.843144898358000,309.605477192000020,22.916490942100001,0.000398476458137,-0.001962635016800,0.004660057316730,10.866874883600000,1.129018563290000,9.861887482669999,156.434522808000000,88.692859645400006,27.561055925700000,0.000251216004926,0.002104720989620,0.000475190170316,4.323512292140000,10.221185487000000,2.324909781290000,1.763778092550000,18
19,173.009999999999990,3.534677832120000,0.782779516749000,184.981271338999990,-2.418167135870000,0.000257059444117,-0.001393108253490,0.004156661253930,0.573050139213000,5.671957482190000,6.417594323370000,-11.971271339199999,90.676230304599997,32.654231025999998,0.000150043972077,0.001521208564610,0.000522431195359,5.114924866860000,66.360814322899998,4.319085714740000,-0.132022155078000,19
20,352.120000000000000,3.616248341620000,0.842231090624000,284.226973772000010,24.280391409100002,0.000162968844921,-0.000741678976569,0.004684842321240,10.589549595999999,-0.347135704132000,10.148652201699999,67.893026228099998,90.613381092799997,27.018879324699999,0.000190673479973,0.001709431848250,0.000494914556462,4.031764157740000,10.254708210800001,2.318349887860000,0.749260489007000,20
