FID,Observed,Cond,LocalR2,Predicted,Intercept,C1_PublicS,C2_Domesti,C3_Irrigat,C4_Aquacul,C5_Mining_,Residual,StdError,StdErr_Int,StdErrC1_P,StdErrC2_D,StdErrC3_I,StdErrC4_A,StdErrC5_M,StdResid,Source_ID
0,162.229999999999990,3.495564647330000,0.685241142409000,169.099693390000000,56.199123041900002,0.689465035980000,-6.734722674500000,0.001326106039650,3.338631737170000,-5.446312896890000,-6.869693390140000,81.462538790599993,30.133565199100001,0.420150204397000,20.132013619199999,0.000296517059834,2.162623944990000,11.591793537299999,-0.084329478213300,0
1,33.880000000000003,3.449357619280000,0.473578036662000,30.555143115500002,42.055116192400000,1.340626353810000,-19.341465871899999,0.001837738001270,8.465432732029999,-5.622000581730000,3.324856884540000,3.316398381570000,29.375828104699998,0.454733424195000,19.639758711900001,0.000371046397155,4.056911733160000,10.980387055200000,1.002550508710000,1
2,103.900000000000010,3.344650980750000,0.621958355644000,65.932448422400000,33.577517772199997,1.056137136650000,-12.290052485200000,0.002636536422990,3.906470513730000,-3.708010775120000,37.967551577599998,82.896662630700007,28.412651767300002,0.426050583250000,19.160328907200000,0.000429584766951,2.366085567250000,10.973223511200001,0.458010616745000,2
3,532.049999999999950,3.814591676410000,0.756165806621000,286.694752208000010,22.169922589500000,3.372856335270000,-29.953199006900000,0.003580692462200,5.894386805950000,3.993528530140000,245.355247792000000,80.156587292300003,29.909688297799999,1.323245758410000,32.488433920900000,0.000417761270224,1.182664214190000,8.355493129830000,3.060949275420000,3
4,310.949999999999990,3.627187084130000,0.653976447602000,418.268321313000000,27.234441788100000,3.625400830760000,-57.137126798399997,0.002956286063120,6.666430556800000,0.300596722340000,-107.318321313000000,63.221873993700001,30.012231535600002,1.173836729760000,29.846001903600001,0.000433850543274,3.117435221740000,10.995463356800000,-1.697487191280000,4
5,144.630000000000000,3.836331818460000,0.737027886327000,109.879173221000000,19.654682253099999,0.714115810283000,5.451941447150000,0.003545079476520,4.246063011480000,1.451647946860000,34.750826779000000,82.828316369400000,30.920619010100001,0.509745738298000,25.917360660400000,0.000470623918565,1.349188886720000,8.402541093150001,0.419552494874000,5
6,354.060000000000000,3.198235483950000,0.440783590646000,128.936296077000010,51.891519584599997,1.116589773200000,-16.610259584000001,0.001297946889840,10.385704270600000,-5.948068804680000,225.123703922999990,82.344764593299999,27.790511417899999,0.430426191518000,19.453773300999998,0.000293246643659,4.216096512750000,10.930792535300000,2.733916418800000,6
7,332.170000000000020,4.027539736520000,0.790778082868000,311.552046075000020,9.562300141670001,9.312762166810000,-62.579809933200004,0.003504603026200,5.720083041030000,6.011575336940000,20.617953925399998,79.797578271399999,31.613644914100000,2.739765354900000,38.381343966199999,0.000428529157566,1.310033544470000,8.471998252100001,0.258378191068000,7
8,57.539999999999999,3.555227301260000,0.617171521901000,65.758421412800004,50.717699894799999,0.577333279507000,-2.902463906110000,0.002305496303820,2.706600961470000,0.044297766302900,-8.218421412790001,82.530395561800006,30.682008389000000,0.444296652568000,21.227973692999999,0.000340520770353,2.077229284670000,9.719112419089999,-0.099580540682600,8
9,35.549999999999997,3.357875277610000,0.621316518198000,98.461989167400006,33.421477019299999,1.223390953960000,-17.337536320800002,0.002671255634760,4.319742420280000,-4.783377018300000,-62.911989167400002,81.690772427300004,28.451760598100002,0.435351240909000,19.171193040199999,0.000436541708194,2.669916826580000,10.917716574000000,-0.770123568403000,9
10,126.330000000000000,3.772140189660000,0.758165088648000,63.977718043899998,20.056257375800001,1.006093624340000,-6.293629269340000,0.003679692205250,5.265495174900000,1.852823087050000,62.352281956100001,81.445508997999994,29.033585705000000,0.576882362866000,27.979121597700001,0.000428672230220,1.167839925090000,8.334648255770000,0.765570535727000,10
11,14.020000000000000,3.099984555760000,0.454780323968000,59.401179143199997,52.186260827600002,1.043604398120000,-15.138596589800001,0.001182891174090,11.298627852199999,-5.959445546890000,-45.381179143200001,80.550914118199998,27.421844866099999,0.426612695703000,19.468751992200001,0.000277455085965,4.845476295960000,10.907621283999999,-0.563385029705000,11
12,30.449999999999999,3.242473828580000,0.581129276692000,66.610801161799998,42.862476193600003,1.017800273550000,-10.713872006100001,0.001030619052120,9.842213869740000,-4.971604103470000,-36.160801161800002,83.114621129900002,26.810096721400001,0.426347438111000,19.419037637100001,0.000262811054920,4.467004959430000,10.849652884299999,-0.435071479244000,12
13,169.240000000000010,3.190353719820000,0.471285466441000,100.316528385000000,52.403255826200002,1.072173990650000,-15.586230237100001,0.001058846471220,12.982354439200000,-5.585052048200000,68.923471614700006,83.604335433299994,27.824141895800000,0.431141373225000,19.559052207600001,0.000285772659845,5.095914755420000,10.908048892500000,0.824400687566000,13
14,170.319999999999990,3.512901230940000,0.773683347822000,123.710159096000000,31.979644621500000,0.945621145048000,-3.217154225510000,0.001202012419220,4.395894303560000,-14.381962516700000,46.609840903699997,82.398575980100006,27.724300099099999,0.413912456583000,19.123041599600000,0.000264375915325,2.230710093490000,36.639719097099999,0.565663184701000,14
15,18.550000000000001,3.109119498010000,0.637225327561000,30.728272882399999,39.552812156900004,0.958794681760000,-7.484225708800000,0.001160740700380,5.260241282560000,-6.732730883560000,-12.178272882400000,75.214739493099998,26.149843064599999,0.415145181757000,19.102026589299999,0.000246380093493,2.522443939220000,11.388654117100000,-0.161913382463000,15
